input,instruction,output
"context: Anne Rochelle Steely Ramirez (born October 23, 1962), née Anne Rochelle Steely, is a former long-distance runner who competed internationally for the United States. She specialized in the 3,000 meters on the track and later competed in road running events.

She made her international debut in cross country and helped the United States the women's team title at the IAAF World Cross Country Championships in 1985. Her focus changed to the 3,000 meters, a distance in which she was a two-time US champion (outdoors in 1991 and indoors in 1992). She reached the final of that event at the 1991 World Championships in Athletics and the 1992 Barcelona Olympics.

Steely's performances deteriorated and she was diagnosed with hyperthyroidism. However, she made an athletic comeback in 1998 and she won two national road titles, as well as appearing at the Goodwill Games and IAAF World Half Marathon Championships that year. She made one more appearance at the World Half Marathon event in 2000, but retired to focus on education studies.\n question: List the years in which Anne Rochelle Steely Ramirez participated in Sprint events based on the passage. Use bulleted format to represent the years and sort in ascending order.",Answer the question based on the context below. ,"1985
1991
1992
1998
2000"
context: \n question: Construct a SQL query to determine the total number of customers in each country.,Answer the question based on the context below. ,"SELECT country, COUNT(*) AS total_customers 
FROM customers 
GROUP BY country;"
"context: In 1984, Ray Parker Jr. was signed by the producers of Ghostbusters to develop the film's title song. Later that year, Huey Lewis and the News sued Parker, citing the similarities between the ""Ghostbusters"" song and their earlier hit ""I Want a New Drug."" According to Huey Lewis and the News, this was especially damaging to them since ""Ghostbusters"" was so popular, rising to number one on the charts for three weeks. The dispute was ultimately settled out of court. Lewis has stated that his experiences with the producers of Ghostbusters were indirectly responsible for getting involved in the 1985 movie Back to the Future.  In the 2001 Behind the Music special, Huey Lewis stated: ""The offensive part was not so much that Ray Parker Jr. had ripped this song off, it was kind of symbolic of an industry that wants something - they wanted our wave, and they wanted to buy it. ... [I]t's not for sale. ... In the end, I suppose they were right. I suppose it was for sale, because, basically, they bought it."" As a result of this statement, Parker filed a suit against Lewis, claiming he violated the settlement's confidentiality agreement and sought an unspecified amount of compensatory and punitive damages as well as attorney's fees.  An issue of Premiere magazine would later feature an anniversary article about the movie Ghostbusters. In that article, the filmmakers at Columbia Pictures admit to using the song ""I Want a New Drug"" as temporary background music in many scenes. They then said that they had made an offer to Huey Lewis and the News to write the main theme, but the band declined. In a 2001 Behind the Music special, Lewis said that the band declined the filmmakers' offer because the band had a prior contractual obligation to do a long concert tour to promote the hugely successful Sports album, which had just been released at the time, and didn't have time to write a main theme for a movie. The filmmakers gave film footage - with the Huey Lewis song in the background - to Ray Parker Jr., to aid Parker in writing the theme song. CANNOTANSWER\n question: What happen with the Ghostbusters song",Answer the question based on the context below. ,"Ray Parker Jr. was signed by the producers of Ghostbusters to develop the film's title song. Later that year, Huey Lewis and the News sued Parker,"
context: \n question: Construct a python class for an apple.,Answer the question based on the context below. ,"class Apple:
    def __init__(self, color, size):
        self.color = color
        self.size = size
    
    def get_color(self):
        return self.color
    
    def get_size(self):
        return self.size"
"context: ""I am the wind that
flows through the trees
I am gentle, but powerful
A force of nature, to be seen""\n question: Add an introduction to the following poem.",Answer the question based on the context below. ,"The wind dances through nature, creating music that can be heard with the ears of the heart. It is a gentle, yet powerful force of nature that can be just as beautiful as it is mysterious. I am the wind that flows through the trees. I am gentle, but powerful, a force of nature to be seen."
context: \n question: Complete the analogy: A knife is to a fork as a spoon is to a ____.,Answer the question based on the context below. ,A spoon is to a spatula.
"context: But although it meets the definition of outer space, the atmospheric density within the first few hundred kilometers above the Kármán line is still sufficient to produce significant drag on satellites. Most artificial satellites operate in this region called low Earth orbit and must fire their engines every few days to maintain orbit.[citation needed] The drag here is low enough that it could theoretically be overcome by radiation pressure on solar sails, a proposed propulsion system for interplanetary travel.[citation needed] Planets are too massive for their trajectories to be significantly affected by these forces, although their atmospheres are eroded by the solar winds.\n question: Where do most satellites operate?",Answer the question based on the context below. ,low Earth orbit
"context: Throughout his tenure on The Daily Show, Stewart has frequently accused Fox News of distorting the news to fit a conservative agenda, at one point ridiculing the network as ""the meanest sorority in the world."" In November 2009, Stewart called out Fox News for using some footage from a previous Tea Party rally during a report on a more recent rally, making the latter event appear more highly attended than it actually was. The show's anchor, Sean Hannity, apologized for the footage use the following night. A month later, Stewart criticized Fox & Friends cohost Gretchen Carlson - a former Miss America and a Stanford graduate - for claiming that she googled words such as ""ignoramus"" and ""czar"". Stewart said that Carlson was dumbing herself down for ""an audience who sees intellect as an elitist flaw"".  Stewart stepped up his criticism of Fox News in 2010; as of April 24, The Daily Show had 24 segments criticizing Fox News' coverage. Bill O'Reilly, host of the talk show The O'Reilly Factor on Fox News, countered that The Daily Show was a ""key component of left-wing television"" and that Stewart loved Fox News because the network was ""not boring"".  During an interview with Chris Wallace on June 19, 2011, Stewart called Wallace ""insane"" after Wallace said that Stewart's earlier comparison of a Sarah Palin campaign video and an anti-herpes medicine ad was a political comment. Stewart also said Fox viewers are the ""most consistently misinformed"" viewers of political media. This comment was ranked by fact-checking site PolitiFact as false, with conditions. Stewart later accepted his error.  In 2014, Stewart engaged in an extended ""call-out"" of Fox News based on their perceived hypocritical coverage of food stamps and U.S. Government assistance. This culminated during the Bundy standoff involving multiple segments, across multiple episodes, specifically singling out Sean Hannity and Hannity's coverage of the event. Hannity would ""return fire"" by calling out Stewart for associating himself with Cat Stevens during his Rally in 2010. Stewart responded to this by calling out Hannity for frequently calling Ted Nugent a ""friend and frequent guest"" on his program and supporting Nugent's violent rhetoric towards Barack Obama and Hillary Clinton in 2007. In late August 2014, Stewart vehemently opposed the manner in which Fox News portrayed the events surrounding the shooting of teenager Michael Brown by police officer Darren Wilson in Ferguson, Missouri and the subsequent protests from citizens. CANNOTANSWER\n question: What happened with the criticism of fox news?",Answer the question based on the context below. ,"Stewart has frequently accused Fox News of distorting the news to fit a conservative agenda,"
context: The guests were chatting and laughing while the late-night rain pattered against the windows.\n question: Describe in one sentence the mood in the room.,Answer the question based on the context below. ,The atmosphere in the room was cozy and inviting.
"context: Akins graduated from Union Grove High School in McDonough, Georgia. He earned All-State honors as both a junior and senior, as well as All-Conference as a sophomore. He committed and signed to play football for the UCF Knights, choosing the Knights over schools such as LSU and Georgia. However, after being drafted by the Texas Rangers in the third round of the 2010 MLB Draft, he chose to pursue a baseball career instead of attending UCF and signed with the Rangers. Akins struggled in the minor leagues, hitting .218 over four seasons and never rising above high-A ball. He retired from baseball after the 2013 season and returned to play football at UCF.\n question: What did Jordan Akins do after retiring from baseball?",Answer the question based on the context below. ,Jordan Akins retired baseball after the 2013 season and returned to play football at UCF.
context: \n question: Create a JavaScript program to print the maximum and minimum of given numbers?,Answer the question based on the context below. ,"function maxAndMin(nums){
  let max = Math.max(...nums);
  let min = Math.min(...nums);
  console.log('Max value: ', max);
  console.log('Min value: ', min);
}"
context: \n question: Generate a roadmap to revise for the upcoming exam.,Answer the question based on the context below. ,"Here is a roadmap to revise for the upcoming exam: 
1. Make a study plan by breaking down the course information into manageable chunks. 
2. Identify the key points in the material and create summaries for those key points. 
3. Take practice tests to assess your knowledge and identify weak areas. 
4. Create a revision schedule and stick to it. 
5. Include plenty of rest in the schedule to ensure you are staying refreshed and focused. 
6. Talk with your peers or a tutor to discuss concepts you may be struggling with. 
7. After the course material is revised, focus on past exams and practice test papers. 
8. Seek help from your professor or tutor if needed. 
9. Make sure to plan a break the day before the exam."
context: \n question: Name two major rivers that flow through US states.,Answer the question based on the context below. ,"Two major rivers in the United States are the Mississippi River, which flows through 10 US states, and the Missouri River, which flows through 7 US states."
"context: London's first and only cable car, known as the Emirates Air Line, opened in June 2012. Crossing the River Thames, linking Greenwich Peninsula and the Royal Docks in the east of the city, the cable car is integrated with London's Oyster Card ticketing system, although special fares are charged. Costing £60 million to build, it carries over 3,500 passengers every day, although this is very much lower than its capacity. Similar to the Santander Cycles bike hire scheme, the cable car is sponsored in a 10-year deal by the airline Emirates.\n question: What is the name of London' bike-for-hire operation?",Answer the question based on the context below. ,Santander Cycles
"context: Douglas Richard Hofstadter (born February 15, 1945) is an American scholar of cognitive science, physics, and comparative literature whose research includes concepts such as the sense of self in relation to the external world, consciousness, analogy-making, artistic creation, literary translation, and discovery in mathematics and physics. His 1979 book Gödel, Escher, Bach: An Eternal Golden Braid won both the Pulitzer Prize for general nonfiction and a National Book Award (at that time called The American Book Award) for Science.[note 1] His 2007 book I Am a Strange Loop won the Los Angeles Times Book Prize for Science and Technology.\n question: Which book of Douglas Hofstadter won the Pulitzer Prize?",Answer the question based on the context below. ,"Douglas Hofstadter's book Gödel, Escher, Bach: An Eternal Golden Braid won the Pulitzer Prize for general nonfiction."
"context: The Kawasaki KX 500 is a 499 cc (30.5 cu in) two-stroke single motocross motorcycle made by Kawasaki from 1983 until 2004.

The Kawasaki KX500 was developed as an air-cooled 500cc motocross bike for competition in the 500cc and Open-Class of motocross. At the time of its release, several top manufactured sported entries in this class, including Yamaha, Suzuki, Honda and the class-leading Maico.

Kawasaki developed the bike on an annual basis through the 80's. The addition of liquid cooling in 1985, a new frame with improved suspension in 1987, engine updates in 1988 and reversed forks in 1990 highlight these revisions.

Kawasaki would take several years to produce a competitive bike, and when it finally did, would find the KX500 winning in events for which it was not initially designed for. Its first victories came in 1986, when Donnie Griewe won two National Hare and Hound events. These only foreshadowed Kawasaki's dominance in distance and desert racing that exploded in the 90's.

In 1989 Kawasaki captures its first National MX championship on a KX500, repeating in '90 and '92 before the series was discontinued at the close of the '93 season. But that would not be the end of the KX500's racing legacy.

Beginning in 1992, the KX500 took the victory in every Desert Nationals race through 1995, and continued to win the Desert Nationals Championship every year though 2001. It further cemented its legendary dominance in desert racing by being the victors bike at the Baja 1000 from 1988 through 1996.\n question: Extract from the text the events won by the Kawasaki KX 500 motorcycle, and separate them by a comma.",Answer the question based on the context below. ,"National Hare and Hound, National MX championship, Desert Nationals, Baja 1000"
context: \n question: Describe a character from the novel Pride and Prejudice.,Answer the question based on the context below. ,"Elizabeth Bennet is the protagonist of the novel Pride and Prejudice. She is a strong-willed, independent woman who is determined to make decisions based on her own evaluation of people and situations. She is also smart and witty, often using sarcasm and irony to make her points. She is not afraid to speak her mind and is unapologetic in her opinions, though she does struggle with judging people by their first impressions."
"context: Louis J. Weichmann moved into Surratt's boarding house on November 1, 1864. On December 23, 1864, Dr. Samuel Mudd introduced John Surratt, Jr. to John Wilkes Booth. Booth recruited John Jr. into his conspiracy to kidnap Lincoln. Confederate agents began frequenting the boarding house. Booth visited the boarding house many times over the next few months, sometimes at Mary's request.  George Atzerodt and Lewis Powell boarded at the townhouse for short periods. Atzerodt, a friend of both John Jr. and Booth and a co-conspirator in the plot  to kidnap Lincoln, visited the boarding house several times in the first two months of 1865. He stayed at the Surratt boarding house in February 1865 (for one night or several, sources differ), but he proved to be a heavy drinker, and Surratt evicted him after just a few days.  He continued to visit the townhouse frequently afterward, however. Powell posed as a Baptist preacher and stayed at the boarding house for three days in March 1865. David Herold also called at the home several times.  As part of the plot to kidnap Lincoln in March 1865, John, Atzerodt, and Herold hid two Spencer carbines, ammunition, and some other supplies at the Surratt tavern in Surrattsville. On April 11, Mary Surratt rented a carriage and drove to the Surratt tavern. She said that she made the trip to collect a debt owed her by a former neighbor. However, according to her tenant, John Lloyd, Surratt told him to get the ""shooting irons"" ready to be picked up. On April 14, Surratt said that she would once again visit the family tavern in Surrattsville to collect a debt. Shortly before she left the city, Booth visited the boarding house and spoke privately with her. He gave her a package, later found to contain binoculars, for Lloyd to pick up later that evening. Surratt did so and, according to Lloyd, again told Lloyd to have the ""shooting irons"" ready for pickup and handed him a wrapped package from Booth. (Booth and Herold would pick up the rifles and binoculars that evening, as they fled the city after Lincoln's assassination.) Lloyd repaired a broken spring on Surratt's wagon before she left. CANNOTANSWER\n question: what conspiracy was she involved in",Answer the question based on the context below. ,She said that she made the trip to collect a debt owed her
"context: Food historian Lois Ellen Frank calls potatoes, tomatoes, corn, beans, squash, chili, cacao, and vanilla the ""magic eight"" ingredients that were found and used only in the Americas before 1492 and were taken via the Columbian Exchange back to the Old World, dramatically transforming the cuisine there. According to Frank,
If we deconstruct that these foods were inherently native, then that means that the Italians didn't have the tomato, the Irish didn't have the potato, half the British National Dish—Fish and Chips—didn't exist. The Russians didn't have the potato, nor did they have vodka from the potato. There were no chiles in any Asian cuisine anywhere in the world, nor were there any chiles in any East Indian cuisine dishes, including curries. And the French had no confection using either vanilla or chocolate. So the Old World was a completely different place.\n question: Spanish patatas bravas are potatoes served with a red sauce made with tomatoes and chilis. Could patatas bravas have existed in 1490?",Answer the question based on the context below. ,"No, patatas bravas could not have existed in 1490. This is because in 1490 the Americas had not yet been visited by Europeans, and so Spaniards didn't have access to the potatoes, tomatoes or chilis present in the dish, because those plants are all from the Americas originally."
"context: Brazilian jiu-jitsu was initially developed in 1925 by Brazilian brothers Carlos, Oswaldo, Gastão Jr., George, and Hélio Gracie, after Carlos was taught jiu-jitsu by a travelling Japanese judoka, Mitsuyo Maeda, who himself mastered his ground fighting while interacting with Taro Miyake (Tanabe student), Sadakazu Uyenishi (Handa, Tanabe) and Yukio Tani (Tenjin Shinyo-ryu) and catch wrestlers in Europe.\n question: Given this paragraph about Jiu-Jitsu, who taught Carlos Gracie.",Answer the question based on the context below. ,Mitsuyo Maeda
"context: 45.456\n question: Given a number, round it off to the nearest hundredths",Answer the question based on the context below. ,45.46
context: \n question: Construct a poem that describes the beauty of a sunset.,Answer the question based on the context below. ,"The setting sun paints a scene of beauty, 
A golden light casts across an azure sky. 
The orange hues of dusk mark the day's end, 
As the night brings a blanket of tranquility. 
The sun slowly fades to the horizon, 
The stars slowly take its place. 
The night slowly creeps in, 
In awe at its beauty I feel grace."
context: \n question: Suggest a unique and interesting setting for the following short story.,Answer the question based on the context below. ,"She found herself in an abandoned underground laboratory, the walls lined with strange machines and artifacts, lit only by a few dimly lit bulbs. There were no windows, no exit, only darkness and a strange feeling of anticipation."
context: <no input>\n question: Find the square root of 156.,Answer the question based on the context below. ,The square root of 156 is 12.48664.
"context: Flow (psychology)
Flow, also known as the zone, is the mental state of operation in which a person performing an activity is fully immersed in a feeling of energized focus, full involvement, and enjoyment in the process of the activity. In essence, flow is characterized by the complete absorption in what one does, and a resulting loss in one's sense of space and time.\n question: Based on the Wikipedia article below, create a 100-word summary of the concept.",Answer the question based on the context below. ,"Flow, also known as the zone or ""being in the zone"", is a mental state people enter when they are engaged in an activity in which they are fully absorbed. This feeling of energized focus and enjoyment comes from the process of being fully involved and having an aim for the activity. This state is marked by a loss in self-consciousness, a sensation of the unity of action and awareness, a distorted sense of time, a sense of personal control and sometimes a sense of great inner peace. Flow is often associated with peak performance, when people are fully engaged in activities like art, sports, gaming, and meditation. The flow state enables people to perform activities at their highest levels of effectiveness, creativity and satisfaction."
"context: Although the Sun appears to ""rise"" from the horizon, it is actually the Earth's motion that causes the Sun to appear. The illusion of a moving Sun results from Earth observers being in a rotating reference frame; this apparent motion caused many cultures to have mythologies and religions built around the geocentric model, which prevailed until astronomer Nicolaus Copernicus formulated his heliocentric model in the 16th century.
Astronomically, sunrise occurs for only an instant: the moment at which the upper limb of the Sun appears tangent to the horizon. However, the term sunrise commonly refers to periods of time both before and after this point:
Twilight, the period in the morning during which the sky is brightening, but the Sun is not yet visible. The beginning of morning twilight is called astronomical dawn.
The period after the Sun rises during which striking colors and atmospheric effects are still seen.
The timing of sunrise varies throughout the year and is also affected by the viewer's latitude and longitude, altitude, and time zone. These changes are driven by the axial tilt of Earth, daily rotation of the Earth, the planet's movement in its annual elliptical orbit around the Sun, and the Earth and Moon's paired revolutions around each other. The analemma can be used to make approximate predictions of the time of sunrise.
In late winter and spring, sunrise as seen from temperate latitudes occurs earlier each day, reaching its earliest time near the summer solstice; although the exact date varies by latitude. After this point, the time of sunrise gets later each day, reaching its latest sometime around the winter solstice. The offset between the dates of the solstice and the earliest or latest sunrise time is caused by the eccentricity of Earth's orbit and the tilt of its axis, and is described by the analemma, which can be used to predict the dates.
Variations in atmospheric refraction can alter the time of sunrise by changing its apparent position. Near the poles, the time-of-day variation is exaggerated, since the Sun crosses the horizon at a very shallow angle and thus rises more slowly.
Accounting for atmospheric refraction and measuring from the leading edge slightly increases the average duration of day relative to night. The sunrise equation, however, which is used to derive the time of sunrise and sunset, uses the Sun's physical center for calculation, neglecting atmospheric refraction and the non-zero angle subtended by the solar disc.\n question: Extract from the following passage, the periods of time does sunrise refer to.",Answer the question based on the context below. ,"Astronomically, sunrise occurs for only an instant: the moment at which the upper limb of the Sun appears tangent to the horizon. However, the term sunrise commonly refers to periods of time both before and after this point. Twilight, the period in the morning during which the sky is brightening, but the Sun is not yet visible. The beginning of morning twilight is called astronomical dawn. The period after the Sun rises during which striking colors and atmospheric effects are still seen."
"context: The J programming language, developed in the early 1990s by Kenneth E. Iverson and Roger Hui, is an array programming language based primarily on APL (also by Iverson).

To avoid repeating the APL special-character problem, J uses only the basic ASCII character set, resorting to the use of the dot and colon as inflections to form short words similar to digraphs. Most such primary (or primitive) J words serve as mathematical symbols, with the dot or colon extending the meaning of the basic characters available. Also, many characters which in other languages often must be paired (such as [] {} """" `` or <>) are treated by J as stand-alone words or, when inflected, as single-character roots of multi-character words.\n question: How does the J programming language improve upon the syntax of APL?",Answer the question based on the context below. ,J avoids using the special characters required in APL by instead using only ASCII symbols and combining them with dot and colon. This makes it a lot easier to type on a standard keyboard.
"context: For several years, Brooks had been toying with a bizarre and unconventional idea about a musical comedy of Adolf Hitler. Brooks explored the idea as a novel and a play before finally writing a script. Eventually, he was able to find two producers to fund the show, Joseph E. Levine and Sidney Glazier, and made his first feature film, The Producers, in 1967.  The Producers was so brazen in its satire that major studios would not touch it, nor would many exhibitors. Brooks finally found an independent distributor who released it as an art film, a specialized attraction. In 1968, Brooks received an Oscar for Best Original Screenplay for the film, beating such writers as Stanley Kubrick and John Cassavetes. The Producers became a smash underground hit, first on the nationwide college circuit, then in revivals and on home video. Brooks later turned it into a musical, which became hugely successful on Broadway, receiving an unprecedented twelve Tony awards.  With the moderate financial success of the film The Producers, Glazier financed Brooks' next film in 1970, The Twelve Chairs. Loosely based on a Russian 1928 novel The Twelve Chairs by Ilf and Petrov about greedy materialism in post-revolutionary Russia, the film stars Ron Moody, Frank Langella, and Dom DeLuise as three men individually searching for a fortune in diamonds hidden in a set of 12 antique chairs. Brooks makes a cameo appearance as an alcoholic ex-serf who ""yearns for the regular beatings of yesteryear."" The film was shot in Yugoslavia with a budget of $1.5 million. The film received poor reviews and was not financially successful. CANNOTANSWER\n question: Did he have any type of formal training?",Answer the question based on the context below. ,CANNOTANSWER
"context: During April 2009, U.S. Federal Reserve vice-chair Janet Yellen discussed these paradoxes: ""Once this massive credit crunch hit, it didn’t take long before we were in a recession. The recession, in turn, deepened the credit crunch as demand and employment fell, and credit losses of financial institutions surged. Indeed, we have been in the grips of precisely this adverse feedback loop for more than a year. A process of balance sheet deleveraging has spread to nearly every corner of the economy. Consumers are pulling back on purchases, especially on durable goods, to build their savings. Businesses are cancelling planned investments and laying off workers to preserve cash. And, financial institutions are shrinking assets to bolster capital and improve their chances of weathering the current storm. Once again, Minsky understood this dynamic. He spoke of the paradox of deleveraging, in which precautions that may be smart for individuals and firms—and indeed essential to return the economy to a normal state—nevertheless magnify the distress of the economy as a whole.""\n question: Who was the U.S. Federal Reserve vice-chair in April 2009?",Answer the question based on the context below. ,Janet Yellen
"context: Kostas Georgakis (Greek: Κώστας Γεωργάκης) (23 August 1948 – 19 September 1970) was a Greek student of geology, who in the early hours of 19 September 1970, set himself ablaze in Matteotti square in Genoa in a fatal protest against the dictatorial regime of Georgios Papadopoulos.

Early life
Georgakis grew up in Corfu in a family of five. His father was a self-employed tailor of modest means. Both his father and grandfather distinguished themselves in the major wars that Greece fought in the 20th century. He attended the second lyceum in Corfu where he excelled in his studies. In August 1967, a few months after the 21 April coup in Greece, Georgakis went to Italy to study as a geologist in Genoa. He received 5,000 drachmas per month from his father and this, according to friends' testimony, made him feel guilty for the financial burden his family endured so that he could attend a university. In Italy he met Rosanna, an Italian girl of the same age and they got engaged. In 1968 Georgakis became a member of the Center Union party of Georgios Papandreou.\n question: Given a reference text about Kostas Georgakis, when did he go to Italy and what did he do there?",Answer the question based on the context below. ,"Kostas Georgakis went to Genoa, Italy in 1967 to study geology."
"context: Darwin was hard at work on his ""big book"" on Natural Selection, when on 18 June 1858 he received a parcel from Wallace, who stayed on the Maluku Islands (Ternate and Gilolo). It enclosed twenty pages describing an evolutionary mechanism, a response to Darwin's recent encouragement, with a request to send it on to Lyell if Darwin thought it worthwhile. The mechanism was similar to Darwin's own theory. Darwin wrote to Lyell that ""your words have come true with a vengeance, ... forestalled"" and he would ""of course, at once write and offer to send [it] to any journal"" that Wallace chose, adding that ""all my originality, whatever it may amount to, will be smashed"". Lyell and Hooker agreed that a joint publication putting together Wallace's pages with extracts from Darwin's 1844 Essay and his 1857 letter to Gray should be presented at the Linnean Society, and on 1 July 1858, the papers entitled On the Tendency of Species to form Varieties; and on the Perpetuation of Varieties and Species by Natural Means of Selection, by Wallace and Darwin respectively, were read out but drew little reaction. While Darwin considered Wallace's idea to be identical to his concept of natural selection, historians have pointed out differences. Darwin described natural selection as being analogous to the artificial selection practised by animal breeders, and emphasised competition between individuals; Wallace drew no comparison to selective breeding, and focused on ecological pressures that kept different varieties adapted to local conditions. Some historians have suggested that Wallace was actually discussing group selection rather than selection acting on individual variation.\n question: Which book was Darwin working on when he received a package from Wallace?",Answer the question based on the context below. ,"""big book"" on Natural Selection,"
"context: Ibn Rushd looked to Aristotle as to whether the world was eternal. In his Physics, the Greek philosopher argues that everything that comes into existence does so from a substratum. Therefore, if the underlying matter of the universe came into existence, it would come into existence from a substratum. But the nature of matter is precisely to be the substratum from which other things arise. Consequently, the underlying matter of the universe could have come into evidence only from an already existing matter exactly like itself; to assume that the underlying matter of the universe came into existence would require assuming that an underlying matter already existed. As this assumption is self-contradictory, Aristotle argued, matter must be eternal. Because in his eyes, ""Aristotle demonstrated the eternity of matter"", Ibn Rushd ""abandon[ed] belief in the creation out of nothing.""  This is not to say that Ibn Rushd denied the Creation; rather, he proposed an eternal creation. Oliver Leaman explains Ibn Rushd's argument as such:  We [as humans] can decide to do something, we can wait for a certain time before acting, we can wonder about our future actions; but such possibilities cannot arise for [an eternal, omnipotent, omnipresent] God. In his case there is no gap between desire and action, nothing stands in the way of his activity; and yet we are told by al-Ghazali that God suddenly created the world. What differentiates one time from another for God? What could motivate him to create the world at one particular time as opposed to another? For us, different times are different because they have different qualitative aspects, yet before the creation of the world, when there was nothing around to characterize one time as distinct from another, there is nothing to characterize one time over another as the time for creation to take place. CANNOTANSWER\n question: What was the eternity of the world?",Answer the question based on the context below. ,"Ibn Rushd looked to Aristotle as to whether the world was eternal. In his Physics, the Greek philosopher argues that everything that comes into existence does so from a substratum."
context: <attach image logo>\n question: Create a product description for this logo.,Answer the question based on the context below. ,"This logo is for the brand, ""Nature's Way"". This brand believes that environmental sustainability and natural beauty should be preserved for future generations. Nature's Way strives to create products made from natural elements and materials that are both environmentally friendly and stylish. From eco-conscious shoes and clothing to renewable furniture and outdoor supplies, Nature's Way has all of your sustainable lifestyle needs covered. With Nature's Way, you won't just look good, you'll do good. Shop our selection of stylish and sustainably-sourced products today."
"context: In April 2010, Putnam announced that the new album was almost completed. The album was delayed due to Josh Martin being in jail (for a third time). The lead guitar tracks were recorded when he was released. On May 11, 2010, Putnam announced that the band decided to split the new recording into two albums. The ""cock rock songs"" would be released on an album called Fuckin' A in a style similar to that of Motley Crue's debut Too Fast for Love, and the noisegrind songs would be released on an album called Wearing Out Our Welcome, which would also feature backing vocals from members of The Raunchous Brothers, Vaginal Jesus, and Mudoven. On June 22, 2010, Putnam completed Fuckin' A. The songs ""Fuck Yeah"" and ""Cranking My Band's Demo on a Box at the Beach"" were released on Myspace Music. On June 24, 2010, Seth Putnam announced on the Anal Cunt Myspace blog that guitarist Josh Martin ""is out of A.C."". Putnam continued by stating that the band would play and record as a two-piece outfit. Fuckin' A was released on January 11, 2011. At the same time, it was announced that Josh Martin was once again back in Anal Cunt, after only two shows performed as a two-piece. In April 2011 Anal Cunt embarked on what would be their final tour. The last show was on April 30, 2011, in Cleveland.  On June 11, 2011, the band's frontman and founder Seth Putnam died of a suspected heart attack, seemingly ending the band.  A compilation CD of obscure Anal Cunt releases was announced in 2009 and was planned to be released by Wicked Sick Records (Seth Putnam's label). In October 2011 it was announced to be a two-CD set entitled The Old Testament. It is a re-release of The Early Years 1988-1991 with a new cover, liner notes penned by Putnam, the band's first demo (which was never before heard by anyone outside Anal Cunt or two girls that visited Putnam's house and were in the room when the recording was made), and tracks from Anal Cunt's final rehearsal session in 1991. It was released in November 2011 by Relapse Records. CANNOTANSWER\n question: When was the new material released?",Answer the question based on the context below. ,"In April 2010, Putnam announced that the new album was almost completed."
"context: The Houston area is a leading center for building oilfield equipment. Much of its success as a petrochemical complex is due to its busy ship channel, the Port of Houston. In the United States, the port ranks first in international commerce and tenth among the largest ports in the world. Unlike most places, high oil and gasoline prices are beneficial for Houston's economy, as many of its residents are employed in the energy industry. Houston is the beginning or end point of numerous oil, gas, and products pipelines:\n question: Of what is Houston a center?",Answer the question based on the context below. ,oilfield equipment
"context: Supernature, Goldfrapp's third album, was released in August 2005. The album comprises pop and electronic dance music prominently featured on Black Cherry, but focuses more on subtle hooks instead of the large choruses that made up its predecessor. The band never intended to create dance music, however, previous releases were popular across nightclubs in North America and as a result, they decided to write a more dance-oriented album. Supernature debuted at number two on the UK Albums Chart and was certified platinum in the UK. As of February 2008, it had sold one million copies worldwide. The album received a Grammy Award nomination in 2007 for Best Electronic/Dance Album and ""Ooh La La"" was nominated for Best Dance Recording. The song was used for the iPhone 5S's commercial in 2013.  ""Ooh La La"", the album's lead single, became Goldfrapp's first UK top five single. The song was chosen as the lead single ""because it was up and in your face and carried on the theme of the glammy, discoey beat from the last album"". ""Ooh La La"" became the first song performed by the band to feature the electric guitar and was cited as a highlight of the album by Allmusic. ""Number 1"" was released as the album's second single. Constructed around a synthesiser and bass arrangement, it was written about the importance of relationships. The album's third single ""Ride a White Horse"" was inspired by the disco era and reached number 15 in the UK. ""Fly Me Away"" was released as the album's fourth single, but did not perform as well as its predecessors.  In 2006, Goldfrapp released We Are Glitter, a North American-only compilation of remixes from Supernature. It included a Flaming Lips remix of ""Satin Chic"", the band's favourite song from the album. CANNOTANSWER\n question: What happened in 2005?",Answer the question based on the context below. ,"Supernature, Goldfrapp's third album, was released in August 2005."
"context: The Cambridge Rules, first drawn up at Cambridge University in 1848, were particularly influential in the development of subsequent codes, including association football. The Cambridge Rules were written at Trinity College, Cambridge, at a meeting attended by representatives from Eton, Harrow, Rugby, Winchester and Shrewsbury schools. They were not universally adopted. During the 1850s, many clubs unconnected to schools or universities were formed throughout the English-speaking world, to play various forms of football. Some came up with their own distinct codes of rules, most notably the Sheffield Football Club, formed by former public school pupils in 1857, which led to formation of a Sheffield FA in 1867. In 1862, John Charles Thring of Uppingham School also devised an influential set of rules.\n question: Which rules were influential to the codes of association football?",Answer the question based on the context below. ,Cambridge Rules
